"Area","MouseID","DPI","Condition","Lesion","Region","DPI_cont"
35.952,"Td075","3D","MCAO","L1","Ctx",3
72.159,"Td020","7D","MCAO","L1","Peri",7
74.991,"Td074","3D","MCAO","L1","Str",3
95.089,"Td071","3D","MCAO","L1","Peri",3
95.462,"Td075","3D","MCAO","L1","Str",3
102.97,"Td078","3D","MCAO","L1","Peri",3
105.597,"Td081","0D","SHAM","L0","Str",0
105.898,"Td066","0D","SHAM","L0","Ctx",0
105.947,"Td081","0D","SHAM","L0","Ctx",0
106.055,"Td071","3D","MCAO","L1","Ctx",3
109.034,"Td076","3D","MCAO","L1","Peri",3
109.071,"Td073","3D","MCAO","L1","Peri",3
114.262,"Td075","3D","MCAO","L1","Peri",3
116.893,"Td073","3D","MCAO","L1","Str",3
117.43,"Td074","3D","MCAO","L1","Ctx",3
117.692,"Td016","7D","MCAO","L1","Peri",7
122.39,"Td066","0D","SHAM","L0","Str",0
125.095,"Td067","0D","SHAM","L0","Ctx",0
127.362,"Td055","14D","MCAO","L1","Peri",14
127.552,"Td072","3D","MCAO","L1","Ctx",3
127.897,"Td077","3D","MCAO","L1","Ctx",3
128.154,"Td058","14D","MCAO","L1","Peri",14
129.868,"Td052","30D","MCAO","L1","Str",30
130.646,"Td079","3D","MCAO","L1","Peri",3
134.561,"Td065","0D","SHAM","L0","Str",0
134.883,"Td059","7D","MCAO","L1","Peri",7
137.134,"Td069","0D","SHAM","L0","Str",0
141.14,"Td027","14D","MCAO","L1","Peri",14
141.787,"Td080","0D","SHAM","L0","Ctx",0
141.886,"Td023","7D","MCAO","L1","Peri",7
142.753,"Td078","3D","MCAO","L1","Ctx",3
150.218,"Td023","7D","MCAO","L1","Str",7
152.256,"Td080","0D","SHAM","L0","Str",0
153.906,"Td064","7D","MCAO","L1","Peri",7
155.797,"Td060","7D","MCAO","L1","Peri",7
156.867,"Td063","7D","MCAO","L1","Str",7
159.045,"Td079","3D","MCAO","L1","Str",3
159.554,"Td028","14D","MCAO","L1","Peri",14
161.232,"Td040","30D","MCAO","L1","Peri",30
166.16,"Td061","7D","MCAO","L1","Str",7
166.239,"Td043","30D","MCAO","L1","Peri",30
166.318,"Td073","3D","MCAO","L1","Ctx",3
168.811,"Td076","3D","MCAO","L1","Ctx",3
172.372,"Td012","7D","MCAO","L1","Str",7
173.747,"Td033","30D","MCAO","L1","Peri",30
174.08,"Td050","30D","MCAO","L1","Str",30
175.651,"Td074","3D","MCAO","L1","Peri",3
178.086,"Td012","7D","MCAO","L1","Peri",7
180.886,"Td047","30D","MCAO","L1","Peri",30
180.918,"Td062","7D","MCAO","L1","Peri",7
181.228,"Td023","7D","MCAO","L1","Ctx",7
182.751,"Td077","3D","MCAO","L1","Str",3
182.822,"Td025","14D","MCAO","L1","Peri",14
182.87,"Td078","3D","MCAO","L1","Str",3
183.086,"Td057","14D","MCAO","L1","Peri",14
186.009,"Td061","7D","MCAO","L1","Peri",7
186.907,"Td018","7D","MCAO","L1","Peri",7
186.979,"Td076","3D","MCAO","L1","Str",3
189.689,"Td014","7D","MCAO","L1","Peri",7
190.113,"Td063","7D","MCAO","L1","Peri",7
190.943,"Td050","30D","MCAO","L1","Peri",30
193.203,"Td053","14D","MCAO","L1","Peri",14
197.007,"Td069","0D","SHAM","L0","Ctx",0
200.344,"Td056","14D","MCAO","L1","Peri",14
202.117,"Td018","7D","MCAO","L1","Str",7
203.218,"Td072","3D","MCAO","L1","Str",3
203.923,"Td059","7D","MCAO","L1","Str",7
204.842,"Td014","7D","MCAO","L1","Str",7
207.939,"Td021","7D","MCAO","L1","Peri",7
209.265,"Td028","14D","MCAO","L1","Str",14
211.407,"Td039","30D","MCAO","L1","Peri",30
214.039,"Td060","7D","MCAO","L1","Str",7
216.719,"Td055","14D","MCAO","L1","Str",14
216.868,"Td049","30D","MCAO","L1","Peri",30
219.745,"Td045","30D","MCAO","L1","Peri",30
221.459,"Td014","7D","MCAO","L1","Ctx",7
222.081,"Td022","14D","MCAO","L1","Peri",14
225.065,"Td052","30D","MCAO","L1","Peri",30
226.801,"Td065","0D","SHAM","L0","Ctx",0
227.753,"Td049","30D","MCAO","L1","Str",30
230.876,"Td046","30D","MCAO","L1","Peri",30
231.184,"Td026","14D","MCAO","L1","Peri",14
231.626,"Td064","7D","MCAO","L1","Str",7
233.395,"Td079","3D","MCAO","L1","Ctx",3
234.677,"Td062","7D","MCAO","L1","Str",7
257.727,"Td022","14D","MCAO","L1","Str",14
261.765,"Td072","3D","MCAO","L1","Peri",3
268.861,"Td026","14D","MCAO","L1","Str",14
277.643,"Td048","30D","MCAO","L1","Peri",30
288.6,"Td058","14D","MCAO","L1","Str",14
288.899,"Td016","7D","MCAO","L1","Str",7
309.627,"Td071","3D","MCAO","L1","Str",3
312.551,"Td053","14D","MCAO","L1","Str",14
313.732,"Td057","14D","MCAO","L1","Str",14
314.907,"Td021","7D","MCAO","L1","Str",7
322.394,"Td043","30D","MCAO","L1","Str",30
324.808,"Td064","7D","MCAO","L1","Ctx",7
328.912,"Td027","14D","MCAO","L1","Str",14
330.198,"Td046","30D","MCAO","L1","Str",30
330.663,"Td039","30D","MCAO","L1","Str",30
330.983,"Td056","14D","MCAO","L1","Str",14
332.333,"Td077","3D","MCAO","L1","Peri",3
351.87,"Td045","30D","MCAO","L1","Str",30
354.001,"Td018","7D","MCAO","L1","Ctx",7
366.526,"Td040","30D","MCAO","L1","Str",30
368.928,"Td025","14D","MCAO","L1","Str",14
376.489,"Td033","30D","MCAO","L1","Str",30
390.682,"Td036","30D","MCAO","L1","Peri",30
416.588,"Td027","14D","MCAO","L1","Ctx",14
453.8,"Td021","7D","MCAO","L1","Ctx",7
457.497,"Td012","7D","MCAO","L1","Ctx",7
457.591,"Td025","14D","MCAO","L1","Ctx",14
458.961,"Td047","30D","MCAO","L1","Str",30
471.5,"Td057","14D","MCAO","L1","Ctx",14
485.567,"Td016","7D","MCAO","L1","Ctx",7
512.513,"Td062","7D","MCAO","L1","Ctx",7
523.652,"Td060","7D","MCAO","L1","Ctx",7
527.74,"Td048","30D","MCAO","L1","Str",30
531.951,"Td028","14D","MCAO","L1","Ctx",14
531.959,"Td056","14D","MCAO","L1","Ctx",14
535.174,"Td039","30D","MCAO","L1","Ctx",30
630.551,"Td058","14D","MCAO","L1","Ctx",14
639.884,"Td047","30D","MCAO","L1","Ctx",30
661.5,"Td036","30D","MCAO","L1","Str",30
668.165,"Td055","14D","MCAO","L1","Ctx",14
676.333,"Td033","30D","MCAO","L1","Ctx",30
683.531,"Td052","30D","MCAO","L1","Ctx",30
685.35,"Td020","7D","MCAO","L1","Ctx",7
696.872,"Td059","7D","MCAO","L1","Ctx",7
700.134,"Td063","7D","MCAO","L1","Ctx",7
726.19,"Td020","7D","MCAO","L1","Str",7
727.916,"Td053","14D","MCAO","L1","Ctx",14
737.139,"Td061","7D","MCAO","L1","Ctx",7
776.186,"Td026","14D","MCAO","L1","Ctx",14
803.496,"Td046","30D","MCAO","L1","Ctx",30
807.588,"Td043","30D","MCAO","L1","Ctx",30
808.15,"Td049","30D","MCAO","L1","Ctx",30
828.063,"Td036","30D","MCAO","L1","Ctx",30
832.426,"Td022","14D","MCAO","L1","Ctx",14
839.293,"Td045","30D","MCAO","L1","Ctx",30
864.774,"Td048","30D","MCAO","L1","Ctx",30
866.264,"Td040","30D","MCAO","L1","Ctx",30
926.448,"Td050","30D","MCAO","L1","Ctx",30
